# TASK-0921 Slice 1 mutation evidence (2026-08-11 04:48)
# driver: scratchpad/mutation-driver.sh; each mutation runs in a fresh mktemp sandbox copy
M-01 SURVIVED rc=0 pattern-hit=1 (\[FAIL\] TC-(04|12))
M-02 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-01
M-03 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-(01|15)
M-04 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-08
M-05 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-02
M-06 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-09.*ta-96-m06-probe
M-07 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-12\(b\).*ta-51-doctor-w6
M-08 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-12\(fail-closed\)
M-10 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-17
M-12 KILLED rc=1 expected-detector-fired: \[FAIL\] TC-23
M-13 SURVIVED rc=1 pattern-hit=0 (\[FAIL\] TC-16)
